
---------------------Generation 0----------------------Generation 0----------------------Generation 0--------------------
Individual #0:  0011011001011100101101101011111111010101110101111111001101011110 || Fitness: 42 || Mutations: :;:;:;:;:;
Individual #1:  1101011101011111011010001110001001111010101011000100000110011101 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #2:  0111000001001111111001010011110110100010010101110101111101011110 || Fitness: 37 || Mutations: :;:;:;:
Individual #3:  0011111100101000101100111111100110110110011000001100111010100100 || Fitness: 34 || Mutations: :;:;:;:
Individual #4:  1111000110011001100111001111111101001010000010111011000011110100 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #5:  1010111011000001011101110111011111011100100000110010110011000110 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #6:  0011111110101000000010011111101110011010011110011100001100110011 || Fitness: 35 || Mutations: :;:;:;:
Individual #7:  1011110001101001000010101110000111001111110011100100100001110101 || Fitness: 33 || Mutations: :;:;:;:;:;
Individual #8:  0011110111100110101110100011111011110011000000011011011000001110 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #9:  0101010110111110101011000101100101100001100011000101110100111100 || Fitness: 33 || Mutations: :;:;:;:;:;
Individual #10: 1100001010011011111110000011111011100100111000010101010011110111 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #11: 0110000001001111111001010111110110101010010101110001111101011110 || Fitness: 37 || Mutations: :;:;:;:
Individual #12: 1111011100100100000001001110000111100111101001010011001000101011 || Fitness: 31 || Mutations: :;:;:;:
Individual #13: 1110011110000010001011100010111100101000101110111100001001100101 || Fitness: 32 || Mutations: :;:;:;:;:;
Individual #14: 0111110000110100011110110010110010010111000100100000101101111111 || Fitness: 34 || Mutations: :;:;:;:;:;
Individual #15: 1001101100011100100100000100011111001111110000111110011110101111 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #16: 1001101110110101001111011101100001101101000000001100011100101001 || Fitness: 32 || Mutations: :;:;:;:;:;
Individual #17: 1000111011011100011000111111000100110111111001011100011110111000 || Fitness: 37 || Mutations: :;:;:;:
Individual #18: 1000100101011110110100001110100101000111111101101101011100011010 || Fitness: 35 || Mutations: :;:;:;:
Individual #19: 1000101101001110100101001100101101101110011100101101011001001010 || Fitness: 33 || Mutations: :;:;:;:;:;
Individual #20: 0101010001001010111001010111100001001011001101111111010110100000 || Fitness: 32 || Mutations: :;:;:;:;:;
Individual #21: 0110011001111111100011110001010100111110001011010010100100110101 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #22: 1110101010110011100000000111111110010111101001000010110011101010 || Fitness: 34 || Mutations: :;:;:;:;:;
Individual #23: 1011111100011100010110011111111100011101101100011101011100111110 || Fitness: 41 || Mutations: :;:;:;:
Individual #24: 0100011111111110101010111001101111010001110010101100100100110010 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #25: 1000101100010100110100101100011010001001111100011110010111101011 || Fitness: 33 || Mutations: :;:;:;:
Individual #26: 0001010111111000011001010101111110010011100101111001000110110110 || Fitness: 35 || Mutations: :;:;:;:
Individual #27: 1001000110100101011101011101010101101101010001011010111100101001 || Fitness: 34 || Mutations: :;:;:;:
Individual #28: 0101110001111100111110011110101000100110101011110101011101111110 || Fitness: 40 || Mutations: :;:;:;:
Individual #29: 1001010111101101001001011101111101000101110011101100111100110000 || Fitness: 36 || Mutations: :;:;:;:
Individual #30: 1010111001001111111011101011000011100010101110110100110111100110 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #31: 0011111100101000000000011111101110011010011110010100110010100101 || Fitness: 32 || Mutations: :;:;:;:;:;
Individual #32: 1011101100011100110110001110011111011111100100011110011100111110 || Fitness: 40 || Mutations: :;:;:;:
Individual #33: 0001110100011000011011010101011100010011100001111010111110111100 || Fitness: 34 || Mutations: :;:;:;:;:;
Individual #34: 1000101001000001110100111011111010101001111110001110010111111000 || Fitness: 35 || Mutations: :;:;:;:;:;
Individual #35: 0100010111101111010100011011010111101100010011011011100011101111 || Fitness: 38 || Mutations: :;:;:;:;:;
Individual #36: 1011000001010010001111101000110111101010101001011101100001101111 || Fitness: 34 || Mutations: :;:;:;:;:;
Individual #37: 1111011110001100010110010101001100111010011100111101001101110010 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #38: 0110000001001111111001010111110110101010010101110001111101011110 || Fitness: 37 || Mutations: :;:;:;:
Individual #39: 1011100100001111010110010101011101001001110011101011110100101010 || Fitness: 35 || Mutations: :;:;:;:
Individual #40: 1011110100001111100110010111011101001011101011101001110001101010 || Fitness: 37 || Mutations: :;:;:;:;:;
Individual #41: 1000000110111111001010010000110111110100001001100101111101001010 || Fitness: 32 || Mutations: :;:;:;:;:;
Individual #42: 0111000111000110011001010110110111101010001000010001111100011111 || Fitness: 34 || Mutations: :;:;:;:
Individual #43: 0011011011101011011100100101101101101101101001100110110101110000 || Fitness: 36 || Mutations: :;:;:;:;:;
Individual #44: 0011101101100001101111001100111010001111000011101110101001000010 || Fitness: 33 || Mutations: :;:;:;:;:;
Individual #45: 0011111100101000101100101101010110000111011000101100111110100101 || Fitness: 34 || Mutations: :;:;:;:
Individual #46: 0010110001000011011101110111010100011100110000010011111010001110 || Fitness: 32 || Mutations: :;:;:;:
Individual #47: 1011101001011000011101001110111100001111101000011110101110111010 || Fitness: 37 || Mutations: :;:;:;:
